,file,artist,title,lyrics
10,TRAHYLW128F92E3A44.h5,Schizoid,Strangerhood,
11,TRAHYMJ128E0787801.h5,Red Hot Chili Peppers,Venice Queen (Album Version),"Does it go from east to west, ya?
Body free and a body less, ya
Come again just to start a-fresh and
Once again to find a home

In the moment of the meantime

Dropping in, coming through the mesh, ya
Checking in just to get it blessed, ya
Hard to leave when it's picturesque
Find a form that's free to roam

(Ah) Where you come from?
(Ah) Where you going?
(Ah) Where you come from?
(Ah) Where you going?

Do it all then it all again, ya
Make it up and you make a friend, ya
Paddle on, just around the bend and
Find a place where you can see

All the mamas and the papas

Take a chance on a 'recommend', ya
Hard as hell just to comprehend, ya
Disbelief that I do suspend and
Easy now to find a breeze

(Ah) Where you come from?
(Ah) Where you going?
(Ah) Where you come from?
(Ah) Where you going?

We all want to tell her
Tell her that we love her
Venice gets a queen
Best I've ever seen

We all want to kiss her
Tell her that we miss her
Venice gets a queen
Best I've ever...

I know you said you don't believe
In God, do you still disagree?
Now that it's time for you to leave
G.L.O.R.I.A. is love

My friend
My friend
My friend

(Ooh) Your stylish mess of silver hair
(The love) A woman of your kind is rare
(My love) Your uniform returns to air
(My love) G.L.O.R.I.A. is love (ooh)

(The love) My friend
(My love) My friend
(My love) My friend

(Ooh) And now it's time for you to go
(The love) You taught me most of what I know
(My love) Where would I be without you, Glo?
(My love) G.L.O.R.I.A. is love (ooh)

(The love) My friend
(My love) My friend
(My love) My friend

(Ooh) I see you standing by the sea
(The love) The waves you made will always be
(My love) A kiss goodbye before you leave
(My love) G.L.O.R.I.A. is love

My friend
My friend
My friend"
12,TRAHYON12903CC36EF.h5,Seven Mary Three,People Like New (LP Version),"Yeah, the roads are right tonight
They are twisting
And my mouth is dry
Like cool air inside

Maybe I worry
Do things in a hurry
And follow the dust
Of people like new

There's people like me
And people like you

Yeah, the roads are right tonight
They are turning
And I know that deep inside the pines
An answer is lurking

And maybe I worry
Do things in a hurry
And follow the dust
Of people like new

There's people like me
And people like you"
13,TRAHYRS128F4262BCE.h5,Irini Merkouri,Oute Mia Fora,
14,TRAHYVC128F421BB24.h5,Willie Bobo,It's Not Unusual,"It's not unusual to be loved by anyone
It's not unusual to have fun with anyone
But when I see you hanging about with anyone
It's not unusual to see me cry,
Oh I wanna' die
It's not unusual to go out at any time
But when I see you out and about it's such a crime
If you should ever want to be loved by anyone,
It's not unusual it happens every day no matter what you say
You find it happens all the time
Love will never do what you want it to
Why can't this crazy love be mine
It's not unusual, to be mad with anyone
It's not unusual, to be sad with anyone
But if I ever find that you've changed at anytime
It's not unusual to find out that I'm in love with you
Whoa-oh-oh-oh-oh"
15,TRAHYVL12903CC97AB.h5,Johnny Pearson,Running Sabotage,
16,TRAHZAL128F9323495.h5,The Jets & The Sharks & Leonard Bernstein&The New York Philharmonic Orchestra,The Dance at The Gym,
17,TRAHZBL128F4256274.h5,Elva Hsiao,Shi Qu Ni,
18,TRAHZCF128F9316036.h5,Alexis HK,Maudits anglois,
19,TRAHZET128F4271AA0.h5,Tha Liks featuring King T,The Bubble,
20,TRBFZPR128F145EAB9.h5,Miriam Yeung,Quan Tou Tang,
21,TRBFZRA128F427030C.h5,Tha Liks,Da Da Da Da,"Hmm (hmmm)..
Shh-shh-shh-shh... da-da da-da
Oh, shit! Haha... da-da da-da?
Da-da da-da (yeah like that) da-da da-da
(This how it go) da-da da-da?
Da-da da-da, da-da da-da
(Two thou' style) da-da da-da?
Da-da da-da, da-da da-da

(Tash)
Aiyyo Tha Alkies set the trends that the whole world follow
Fuck a CD, fuck a tape, we should sell this shit in bottles
(Are you a role model?) Not, CaTash'll steal yo' beatbox
I drink cuss and smoke and sock niggaz with cheap shots
The gunner - Wonderman, Wonderwoman husband
The stunner - fuck with us y'all niggaz must be buzzin
I love it; we coulda been washed like dirty dishes
But the Genie in the Lamp gave Tash like 30 wishes
First I wished for health 'cause I be thinkin' bout myself
I be drinkin' by myself, livin' shrinkin like an elf
Next I wished for wealth, 90 million in the bank account
Young niggaz with money, that's somethin' we need to think about
'Cause we could be the President, we could be the Senators
Right now niggaz think we just drug dealers and janitors
We big, that's big, we large, in charge
I told the Genie next I want a car like the stars
A Bentley, a Coupe, a truck with the OOP
With the three level seats for when it's time to scoop my group
I thirst, for loops, I told the Genie next
I want the King Tee albums plus Xzibit on cassette
Next, I told the Genie like it or not
Last wish I hope you die 'cause I want yo' spot
Tash come from rock bottom want funk beats we got 'em
I can bust my shit in spring you won't catch it till next autumn
We taught them niggaz how to rhyme this hot
We drink a lot, smoke a lot, da-da da-da, da-da da-da

(Chorus x2: Tha Liks)
... Da-da da-da?
Da-da da-da, da-da da-da
... Da-da da-da?
Da-da da-da, da-da da-da

(J-Ro)
Babylon and chron' - six foes on the line
Smashin down Avalon like a ghetto amazon
Brown-bagger; take it to the head like Marvin Hagler
Livin' underground like a badger
Wall to wall like a tagger - original pants sagger
Bite my rhymes and your whole grill might shatter
Remi and Hennesey, fuckin' up my bladder
If your girl say she know me then I probably got at her
Sometimes I'm hard to find like downtown parkin spaces
I'ma be old and grey and still flirtatious
Remove my shoes for foot races, primitive man ate fish
But MC's are the latest on my dish mentally spacious
You didn't create this so you, naturally hate this
Wait Miss, do you like what you see? How do you rate this?
Relax I'm not a rapist just, one of the greatest
Born winner hair full of basses opposite of weightless
Mastered the art of holdin' bottles double-fisted
X.O Hennesey fifth, unassisted
We not promotin drinkin', we just havin' some fun
Fuck it, we drink in Appleton and Nantucket
Mashin down Van Nuys, puffin stress in the bucket
Ghetto hip-hop for the public, you love it
At Lovitz, you love the Alkaholik wino
Pissin off the strippers up in the spearmint rhinos

(Group laughter)
You like that? A like da da-da

(E-Swift)
Okay, here we go, original, liquor sto' flow
Ghetto non-mellow pissy drunk alkapella yo'
Average, everyday around the hood fellows
Though we always bring the ruckus we some wild motherfuckers
Niggaz call me CPR - I help rap music breathe
With beats and rhymes you wouldn't believe
What I did is that you couldn't conceive
With a ho on each sleeve with a crew of niggaz rollin' on D's
It's them Alkaholik niggaz flowin with the toilet niggaz
Party-crashin raid-thrashin beer-smashin brolic niggaz
Peers drinkin' irrational thinkin' don't give a fuck about nuttin
Blame it on the alcohol consumption
Yeah we overdid it, I had to admit it
It's Tha Likwid, we underground rap music's prime ticket
Sick wid it, E-Swift be quick with it
Everytime I spit it forget it, y'all need to quit it
(Sing it!)

(Ad libs of Chorus] [ad libs to fade)"
22,TRBFZRF128F92DCD89.h5,Jimmy Johnson,When There's A Will_ There's A Way,
23,TRBFZRR12903CE48D1.h5,Juan Carmona; Ricardo Larroze,Marrakech,
24,TRBFZTR12903D0255C.h5,Murskahumppa,Mua rakastan,
25,TRBFZVG128F424770A.h5,Antonio Koudele,TU MIRADA,
26,TRBGACK12903CD5CF5.h5,Najoua Belyzel,Ma vie n'est pas la tienne (album),
27,TRBGADW128F427E133.h5,Furry Lewis,Judge Harsh Blues (Tk. 1),
28,TRBGADY128F148435D.h5,Dark Shadows,Carolyn & Barnabas,
29,TRBGASN128F427BF8F.h5,Jennifer Lopez,I'm Glad,"Baby, when I think about...
The day that we first met 
(The day that we first met)
Wasn't lookin' for what I found
But I found you and I'm bound to
Find happiness in bein' around you

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad

I dig the way that you get down 
(You get down, thugged out)
And you still know how to hold me 
(And you still know how to hold me)
Perfect blend, masculine 
(Can't get enough now)
I think I'm in love
Damn, finally

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad

I'm glad that you turned out to be
That certain someone special who makes this life worth living
I'm glad you're here, just lovin' me
So say that you won't leave
'Cause since the day you came
I've been glad

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad"
30,TRBGAUG128F428378E.h5,Jane Winther,Singing  Bowls_Saxophone & Voice,
31,TRBGAUU128F93382E0.h5,Vincent Baguian,Chanson Populaire,
32,TRBGAVN128F424142C.h5,Bobby Darin,"Theme From ""Come September"" (LP Version)",
33,TRBGAWQ128F9305F25.h5,Seventh Day Slumber,Famous One,"For all You've done and yet to do
With every breath I'm praising You
Desire of the nations and every heart
You alone are God
You alone are God

You are the Lord
The famous one, famous one
Great is Your name in all the earth
The heavens declare
You're glorious, glorious
Great is Your fame beyond the earth

The morning star is shining through
And every eye is watching You
Revealed by nature and miracles
You are beautiful
You are beautiful

You are the Lord
The famous one, famous one
Great is Your name in all the earth
The heavens declare
You're glorious, glorious
Great is Your fame beyond the earth"
34,TRBGAXJ12903CB10B1.h5,David Rose & His Orchestra,One Love,
35,TRBGDXT128F1487E86.h5,He Is Legend,Stampede,"We have been moving
To cuts and bruises
I'll sing a song for you
Run faster or you'll lose it
This is our heartbeat
Our words are so sweet
You dropped your medicine
Inside the water that we drink
Mama, tell me do I have a fever?

From the west I see the warrior sleep
And from the eat I watch the witches bathe my feet
I headed north and saw you dancing in the rain
I woke up in the south and I will never be the same
Mama, tell me do I have a fever?

I looked left to find your fingerprints were gone
I look right to something was going wrong
I looked up to see the sun had flickered out
I headed down the road that lead me to the south

Oh Lord, This road I travel
Has made my head unravel
I just want to go home
But this road won't let me go

Country road
Take me home
To the place
Where I belong
I'm so homesick
And I can't see straight
I'm not gonna make it
It's getting too late

Oh Lord, This road I travel
Has made my head unravel
I just want to go home
But this road won't let me go

We have been moving
To cuts and bruises
I'll sing a song for you
Run faster or you'll lose it
This is our heartbeat
Our words are so sweet
I cannot wake from you
You will not ever wake from me"
36,TRBGDYF128F4233ED0.h5,Nikos Kalaintzis,Chira,
37,TRBGEAZ12903CE8885.h5,Mister Ries featuring Six Foe,Booty Bounce,
38,TRBGEGB128F9345BD0.h5,Cece Winans,Come On Back Home,"Since the beginning you knew
He's been with you
You were raised in the church
So you know I'm tellin' the truth
Livin' like you don't know right from wrong
Tellin' yourself you're okay
God's word is always right
Just admit you've left the way
So I'm here to tell ya
It doesn't matter what you've done or where you been
Just fall on your knees, confess and he will forgive your sins

Come on back home, you've been away too long
God has been good to you
He's brought you through and through
Why can't you see the signs
We're living at the end
Jesus is coming soon
Don't wait too late my friend

Just surrender and stop the fight
Go head and throw in the towel
Why run from love any longer
When you're almost out of time
Let him restore you
And break up that fallow ground
All power is in his hands
To turn your whole life around
Let him in your heart
The choice is yours you don't have to be ashamed

Please don't ignore the knocking at your door
Let him in your heart, he'll forget the past and give a fresh new start
And this time hold on, don't let him, don't let him, don't let him go
He wants to wash you and fill you and heal you and love you like..."
39,TRBGEGG12903CDD71F.h5,Kitaro,Earth Born,
40,TRBGEGX128EF344507.h5,Gaither Vocal Band,Little Is Much When God Is In It (South African Homecoming Album Version),
41,TRBGEHK12903CEEFC0.h5,John Mayer,Sannyasin,
42,TRBGEIB128F930403D.h5,Ragheb Alama,Gheera Away,
43,TRBGEIP12903CE8853.h5,DJ Omega,E. Warren,
44,TRBGELF128E07915B8.h5,Mase,My Harlem Lullaby (Album Version),"Yeah, Yeah
C'mon
Man I just do what the doers do
C'mon, yeah you heard the man
I just do what the doers do

Now I been makin' hits since underage
Contract intact, can't be under paid
This ain't a game I ain't fun to play
Don't front for me I ain't from the A
Don't you wanna hear what I come to say
This just a kid you know me from before
Prices go up when I come in the store
I'm in another island in a bungalow
Evisu down to my underclose
Ate like a cat that was undersold
I give and get it back in a hundred fo'
I feel like a man that was from the road
And y'all know that I will bring you out
And what I'm talkin' you don't know a thing about
Bring Modenas out
Take a scenic route
Bettin against me, it's bound to clean you out

This is for all of my people
Who stood beside me and still believed
Drop-top cars and SUVs
G5 flights and shopping sprees
This is where you wanna be
This is La Familia

It's hard to get low
In a 3-6-0 Spider
License plates all the chicks know
Cats walk around buffed up like beach guys
But they don't put no fear in these eyes
Besides, I'm just here to teach lives
Girl walk around, try to give me the slide
The ice on my arm it gave me all away
I roll up the tint top up and rode away
I smell like money, let the odor stay
Go in my closet, fur to throw away
I'm never lost I already know the way
If I need it for tonight I'll get it for today
I'm God-made, I took five years parlay
Home pool, arcade and it's all paid
What say, I spend a third on a upgrade
Import palm trees 'cause I ain't have enough shade

This is for all of my people
Who stood beside me and still believed
Drop-top cars and SUVs
G5 flights and shopping sprees
This is where you wanna be
This is La Familia

And when the record plays
What will the haters say
Oh don't you be afraid 'cause I'm your alliby
So when I'm drivin' by
Don't try to analyse
And beacause of him I'ma still be fly
And this our lullaby

C'mon now, you know my flow
I'm in and out
Non guilty, I ain't gotta buy the trout
Couple of critics but I ain't gon' stop now
I got a plane to catch to be in Moscow
I'm on jets, they doin' sky miles
So I see why the people so hostile
It's no drama, it's mo' honor
I'm wanted in the world like I was Osama
This is no exageration
Why these people so mad at Mason

This is for all of my people
Who stood beside me and still believed
Drop-top cars and SUVs
G5 flights and shopping sprees
This is where you wanna be
This is La Familia

(Repeat 2X)

Take that, take that
Take that, take that

(Repeat until fade)"
45,TRBGELM128F424EDA2.h5,PATSY CLINE & WILLIE NELSON,Life's Railway To Heaven,
46,TRBGERR12903CB8EE9.h5,Swans Of Avon,Shining,
47,TRBGEUJ128F42B06B8.h5,Sandi Thom,I Wish I Was A Punk Rocker (With Flowers In My Hair),"Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair

When the head of state didn't play guitar
Not everybody drove a car
When music really mattered and when radio was king
When accountants didn't have control
And the media couldn't buy your soul
And computers were still scary and we didn't know everything

Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair

When pop stars still remained a myth
And ignorance could still be bliss
And when God Save the Queen she turned a whiter shade of pale
When my mom and dad were in their teens
And anarchy was still a dream
And the only way to stay in touch was a letter in the mail

Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair

When record shops were still on top
And vinyl was all that they stocked
And the super info-highway was still drifting out in space
Kids were wearing hand-me-downs
And playing games meant kick arounds
And footballers still had long hair and dirt across their face

Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair"
48,TRBGEZA128F4286D23.h5,Behemoth,Hello Space Boy,"(David Bowie cover)

Space...
Space...
Spaceboy

Spaceboy, you're sleepy now
Your silhouette is so stationary

Spaceboy, you're sleepy now
Your silhouette is so stationary
You're released but your custody calls
And I want to be free

Don't you want to be free
Do you like girls or boys
It's confusing these days

But moondust will cover you
Cover you

This chaos is killing me
Space fucking boy

Spaceboy, fuck you
Space fucking boy

Bye bye love
Bye bye fucking spaceboy
Bye bye love
Fuck up Spaceboy!

Bye bye my love"
49,TRBGJTK128F93417F6.h5,Charlie Byrd Trio,Goody Goody,
50,TRBGJXW128F42AE7D8.h5,Natassa Theodoridou,Sou Vazo Diskola,
51,TRBGJYR128F42371AB.h5,Joanna Connor,Money Blues,
52,TRBGJYY128F930DAEE.h5,Ghetto Mafia,This Is A Stick Up,
53,TRBGJZN12903D0D2FC.h5,Bedrock,Emerald,
54,TRBGKBZ128F931569B.h5,Radio Birdman,Zeno Beach,
55,TRBGKEY128F424AB37.h5,Francis Dhomont,Meteores mouvement de Chroniques de la lumier,
56,TRBGKGR128F92EE206.h5,Zeca Baleiro,Telegrama,"Eu tava triste, tristinho.
Mais sem graça que a top model magrela da passarela.
Eu tava só, sozinho.
Mais solitário que um paulistano, que o canastrão na hora que cai o pano.
Tava mais bobo que banda de rock,
que um palhaço do circo Vostok.

Mas ontem eu recebi um telegrama.
Era você de Aracaju, ou do Alabama,
dizendo: nego, sinta-se feliz!
porque no mundo tem alguém que diz,
que muito te ama, que muito te ama, que muito muito te ama, que tanto te ama.

Por isso hoje eu acordei com uma vontade danada
de mandar flores ao delegado
de bater na porta do vizinho e desejar bom dia,
de beijar o português da padaria.

Hoje eu acordei com uma vontade danada
de mandar flores ao delegado
de bater na porta do vizinho e desejar bom dia,
de beijar o português da padaria.

Mama, oh mama, oh mama
Quero ser seu, quero ser seu, quero ser seu papa
Mama, oh mama, oh mama
Quero ser seu, quero ser seu, quero ser seu, quero ser seu papa

Eu tava triste, tristinho.
Mais sem graça que a top model magrela da passarela.
Eu tava só, sozinho.
Mais solitário que um paulistano, que um vilão de filme mexicano.
Tava mais bobo que banda de rock,
que um palhaço do circo Vostok.

Mas ontem eu recebi um telegrama.
Era você de Aracaju, ou do Alabama,
dizendo: nego, sinta-se feliz!
porque no mundo tem alguém que diz,
que muito te ama, que muito te ama, que muito muito te ama, que tanto te ama.

Por isso hoje eu acordei com uma vontade danada
de mandar flores ao delegado
de bater na porta do vizinho e desejar bom dia,
de beijar o português da padaria.

Hoje eu acordei com uma vontade danada
de mandar flores ao delegado
de bater na porta do vizinho e desejar bom dia,
de beijar o português da padaria.

Mama, oh mama, oh mama
Quero ser seu, quero ser seu, quero ser seu, quero ser seu papa
Mama, oh mama, oh mama
Quero ser seu, quero ser seu, quero ser seu, quero ser seu papa"
57,TRBGKHZ128F931C32E.h5,Digital Mystikz,Molten,
58,TRBGMNM128F932D140.h5,Shelly Manne,Jubilation T. Cornpone,
59,TRBGMOG128F92D75BD.h5,Funeral For A Friend,Kicking And Screaming,"Growing up
Around these streets
Never really felt quite like
Like anything

It's where nothing
Has a chance
To really go somewhere
That you can't

My love is exploitation
And the passing celebration
And I don't want to feel
Like a part of history

Going through this town
Upside down
Weekends are railway rides
Just a few
Promises broken
At quarter past five
Burning fires
On the railway hillsides

My love is exploitation
And the passing celebration
And I don't want to feel
Like a part of history

And the grass is greener
On the other side
It's where I wanna be
Somewhere that she can really see

We all go out like we come in
Kicking and screaming

We all go out like we come in
Kicking and screaminggg

We all go out like we come innn
Kicking and screaminggg!

My love is exploitation
And the passing celebration
And I don't want to feel
Like a part of history

And the grass is greener
On the other side
It's where I wanna be
Somewhere that she can really see"
60,TRBGMUA128F92E9A1C.h5,RUN-DMC,Slow And Low,
61,TRBGMWD12903D0F674.h5,Little Milton,Lookin' for My Baby,"Well I rode that train this morning, I'm gonna ride all night tonight
Yes I rode that train this morning, gonna ride all night tonight
Wow if I don't find my baby, I just feeling right

She's been gone a long time, wonder why don't she write to me
She's been gone a long time, wonder why don't she write to me
She should know that I'm lonesome, lonesome as a man can be

What shit is this sylvester

Oh I've been to California, I've been to New York too
Oh I've been to California, and I've been to New York too
I've been all around the world, now I don't know what to do

Wow going back home, Lord gonna fall down over me
Yes I'm going back home, I'm gonna _____ down all my _____
I'm gonna _____ my baby, brings my woman back to me"
62,TRBGMWQ12903CC23CD.h5,Eighteen Visions,Life's Blood,"Peel this flesh from my face ripping you from my mind.
Pull back the layers of skin.
Knee deep in piss.
Crawling in spit.
I thirst for life.
I've watched this passion slip through my fingers.
Prayers of these few parish in the clouds of emotion.
Feed my depression with ain and excursion.
Drop the hammer on life.
Stone this tired soul and caste this body to rot.
Taste the life.
Greet this pain with open arms.
The blood is life and it shall be mine.
I envy you"
63,TRBGMXY128F92FC2B2.h5,Camp Lo,Black Connect 3,
64,TRBGMZJ128F4264AA6.h5,Charlie Peacock,The Way Of Love (West Coast Diaries Vol. 1 Album Version),"There was a time when I didn't know
If I would ever see a sign of real love
Until I met You I didn't know
About true happiness, about true devotion

I could have a faith, a faith to move a mountain
Without love I'd be worth nothing
I could give all my money away
But without love I would gain nothing

I know that You're the main connection
That can put me on the track
Headed in the right direction

This is the way of love, oh yeah
This is the way of love
There'll be no doubt about it
I know it's true

This is the way, this is the way of love
This is the way of love
(This is the way of love)
This is the way of love

Love is patient, love is kind
That's the kind of love that You give me all the time
I like a love that keeps no record of wrongs
Loves me when I'm good, loves me when I'm not
I know whether night or day
I'll be waiting for the moment just to hear You say

This is the way of love
Oh yeah, this is the way of love
There'll be no doubt about it
I know it's true

This is the way, this is the way of love
This is the way of love, oh yeah, this is the way of love
There'll be no doubt about it, I know it's true
This is the way, this is the way of love

This is the way of love
(This is the way of love)
This is the way of love
(I know, I know, I know, I know)
This is the way of love
(This is the way of love)

Love is patient, love is kind
That's the kind of love that You give me all the time
I like a love that keeps no record of wrongs
Loves me when I'm good, loves me when I'm not
I know whether night or day
I'll be waiting for the moment just to hear You say

This is the way of love
Oh yeah, this is the way of love
There'll be no doubt about it
I know it's true

This is the way, this is the way of love
This is the way of love, oh yeah, this is the way of love
There'll be no doubt about it, I know it's true
(No doubt about it)
This is the way, this is the way of love"
65,TRBGNAF128F4253180.h5,Zbigniew Preisner,Leaving The Docks,
66,TRBGNAF128F9339532.h5,SUMO,Noche De Paz,
67,TRBGNBC128F423DCD8.h5,Vana,Village Dance,
68,TRBGNCL128F428F56F.h5,Gwen Stefani,4 In The Morning,"Waking up to find another day
The moon got lost again last night
But now the sun has finally had its say
I guess I feel alright

But it hurts when I think
When I let it sink in
It's all over me
I'm lying here in the dark
I'm watching you sleep, it hurts a lot

And all I know is
You've got to give me everything
Nothing less 'cause
You know I give you all of me

I give you everything that I am
I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up

Stay up till four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
Baby, if we're gonna do it, come on, do it right

All I wanted was to know I'm safe
Don't wanna lose the love I've found
Remember when you said that you would change
Don't let me down
It's not fair how you are
I can't be complete, can you give me more?

And all I know is
You've got to give me everything
Nothing less 'cause
You know I give you all of me

I give you everything that I am
I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up

Stay up till four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
Baby, if we're gonna do it, come on, do it right

Oh, please, you know what I need
Save all your lovin' for me
We can't escape the love
Give me everything that you have

And all I know is
You've got to give me everything
Nothing less 'cause
You know I give you all of me

I give you everything that I am
I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up

Stay up till four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
Baby, if we're gonna do it, come on, do it right

Give you all of me
Give you everything
Give you all of me"
